"item","Frequency"
"i am in",205
"i had the",205
"in the early",205
"it was an",205
"or at least",205
"so if you",205
"thanks to all",205
"when you get",205
"will be on",205
"you ve been",205
"are trying to",204
"but there s",204
"can t do",204
"can t even",204
"he s been",204
"one of his",204
"people who are",204
"they need to",204
"we are going",204
"what happened to",204
"and we are",203
"don t do",203
"even though i",203
"for me i",203
"in the day",203
"of the people",203
"to become a",203
"will have a",203
"can i get",202
"get rid of",202
"i had no",202
"know what to",202
"out how to",202
"the other hand",202
"a few months",201
"be one of",201
"me and my",201
"that he had",201
"to me and",201
"what a great",201
"6 p m",200
"but you can",200
"on the ground",200
"really want to",200
"to find the",200
"along with the",199
"go to sleep",199
"so much to",199
"to have you",199
"what you re",199
"will be at",199
"you are the",199
"you get a",199
"you have any",199
"you have the",199
"can t find",198
"i like it",198
"if it was",198
"in a way",198
"parts of the",198
"so excited to",198
"that he s",198
"the state of",198
"time for a",198
"two of the",198
"all of our",197
"but in the",197
"the way you",197
"to me i",197
"was supposed to",197
"you in the",197
"but he s",196
"don t really",196
"on the phone",196
"she doesn t",196
"spread the word",196
"the lack of",196
"the story of",196
"were going to",196
"will be able",196
"back on the",195
"he wanted to",195
"in recent years",195
"isn t the",195
"it is to",195
"it s very",195
"it was great",195
"of the same",195
"t seem to",195
"and didn t",194
"had a good",194
"much for the",194
"the associated press",194
"the first half",194
"they have to",194
"want to make",194
"you for your",194
"at least a",193
"said he s",193
"to think about",193
"were able to",193
"have you been",192
"he wants to",192
"it makes me",192
"it would have",192
"not to be",192
"on the radio",192
"the chance to",192
"the past few",192
"this isn t",192
"working on a",192
"be at the",191
"do you want",191
"i know what",191
"i love this",191
"i m ready",191
"i was able",191
"it s good",191
"s not the",191
"t going to",191
"that he is",191
"to the public",191
"waiting for the",191
"a few hours",190
"as one of",190
"back of the",190
"don t wanna",190
"in los angeles",190
"m not a",190
"me know if",190
"this will be",190
"to start the",190
"you are not",190
"here s the",189
"i should have",189
"i tried to",189
"i ve heard",189
"in high school",189
"the department of",189
"the difference between",189
"the process of",189
"to the city",189
"two years ago",189
"are the best",188
"for the most",188
"give me a",188
"he did not",188
"keep up the",188
"love to see",188
"much as i",188
"s why i",188
"the death of",188
"all of this",187
"be the best",187
"for a great",187
"i love how",187
"is just a",187
"like it s",187
"little bit of",187
